review,sentiment
ikinci yarısını izlemeden kalktık fazla dayanamadık konusu saçma işleyişi sıkıcı üzgünüm tercih edilmemeli,Very Bad
saati türk dizisi bakışma sahneleriyle doldurmuşlar aksiyon desen hadi geçtim insan kıpırtı istiyor diyaloglar zayıf karakterler tanıtılmıyor anlamıyorsunuz filmin konusunu anlamadık,Very Bad
kötü sarmıyor kesinlikle gitmeyin beğenmedim izlediğim kötü filmler listesinde girer,Very Bad
spoiler butonuna basmalımıyım bilmiyorum bildiğim marvel filmlerini izleyenler genel izleyici kişiler cinselliği filmlerde istemeyenler arkadaşım öpüştürdün okeyiz devamını batımında anladık gösteriyorsun hadi geçtik erkek çocuk olayı kavradık öpüştürüp gözümüze sokuyorsun yetişkin izledim film kimseye önermemiştim rezil olurdum ailenize gitmeyi planlıyorsanız sakın gitmeyin eğlenmek değiş fikir aşılamak yapılmış,Very Bad
beklentiniz olmasın sürekli konuşma gereksiz uzatılmış izlerken fazla sıkılıyorsunuz marvel filmleri,Very Bad
filim sıkıcıydı yüzden beğenmedim maceralı heyecanlı olmasını bekliyordum,Very Bad
yaşındayım hayatımda yere yorum yazıyorum şimdiye izlediğim rezil saçma şeydi bakın şeydi diyorum film denmez sakın gitmeyin vaktinize yazık oyuncular kabul etmiş filmi cartoon network izleyin konusuz saçma olamaz robotun allah belasını vermiş filmin ortasında bulalım dünyadan uzak çalsa yeridir,Very Bad
porno filminden farksız izlemeye değmezspoiler,Very Bad
kadını kırbaçlayan adamın hikayesi matinelerin hiçbirinde gişeci arkadaş matine başı erkek dedi meraktan sorunca kadınlar günü adam kontratla kadının sahibi üstüne biniyor kırbaç vuruyor kadının vücudunu basit materyal kullanıyor kadınlar akın akın gidiyor film arasında kahrolsun erkekler özgecan tweet atıyorlar aşiret ağasına zorla satılan kızla satın alan adamın destansı çeşme izliyorlar sorsan feminist ülkenin almanyada doktora yollasan hastaneye yatış verir hasta habis pisiz hakkaten ghul haklı kurtarılmıyor yerler,Very Bad
öncelikle filme hayran kişilerin insanlığından şüphe ettiğimi belirtmek isterim filmde kıroyum para bende denen züppenin gözüne kestirmiş üniversiteli genç kadına uyguladığı sadist mazoşist uygulamalar alıyor utanmadan sahip istiyorsan işkencelere katlanmak zorundasın diyor genç kızı hümanist önyargılı olmakla suçluyor sapık düşüncelerine teslim olmasını istiyor sonuç filmi rezil ötesi buldum kimseye tavsiye etmiyorum,Very Bad
zengin züppe cinsel sapkınlıkları adamla masum kızın filmi hayat kızlar kötü adama aşık ağlar bitsin dakikaları baktım durdum gereksiz başı sonu aynı sıfır puan film puan verilebilir filme inanın anlamış değilim,Very Bad
alaca karanlık filminin erotik versiyonu yayınlanacağını sanmıştım yüzden izlemek istemedim internete düşünce merak edip tıkladım başta sorun gibiydi iyice film iğrenç gelince direk sonuna baktım film kötü normal kadın adamın yaşadığı olayların anlatan kitap sanıp izlesem işkence yapmaktan sevk alan hastanın hikayesi ilgi çekici rahatsız edici,Very Bad
fifty shades grey twilight serisinin yeni versiyonu beyazperdeye uyarlanan hayran kitlesi büyük film öncelikle twilight serinin kötü hepimiz biliyoruz filmse twilight uyarlanmış kötü filmden kötü film ortaya çıkmış fifty shades grey hayatımda izlediğim anlamsız gereksiz kısacası kötü filmlerde beşe girmeyi başardı konuyu geçeceğim konu twilight benzeri ilerliyor sadece çıplaklık filmin yanlarından başlayayım atmosfer dekorlar kameranın çekim açıları oldukça değişikdi filmin kötü yanlarına değinelim dakota johnson jamie dornan kimyası ekranda gördüğüm zorlama çiftlerden olmuş özellikle dakota johnson sinema tarihinin zayıf kadın karakterlerinden birisini oynamış filmde resmen acıdım senaryo klişe anlamsız amaçsız filmi dakika boyunca ekrana bakarak izledim filmin kötü yanı gelecek yıllar tane devam filminin gelecek yüzden senaryoda sürü boşluk sırf yüzden filmi uzattıkça uzatmışlar boşlukları tamamlaması keşke film uzun olsaydı diyeceğim dakika epey uzun süre kısacası fifty shades grey tahmin ettiğinizden kötü film hayatınızdan dakikayı harcamak istiyorsanız izleyebilirsiniz tavsiyem film listedeki filmden birisini izlemeniz vakit geçireceğinize eminim filmin yanları dekorlar atmosfer şarkılar filmin kötü yanları oyunculuklar amaçsız bomboş senaryo şeyin zorlama finali devam filmi gelecek toplam puan,Very Bad
beşinci faaliyetleri diyorum başka demiyorum psikolojik problemlere sebep kötü sahneleri yapacağı tahribattan sıyrılmak günümüz insanı oldukça hızır çeşmesi bulup oradan hayat suyunu yudumlarsa yeniden dirilmek mümkün amma günümüzde hızır çeşmesinin zehir çeşmesi yutturulup üstüne zift içirildiği dönemde hızır çeşmesini bulabilmek oldukça maalesef sanat adına durmadan çekilen şehevanî duyguları tasvir filmler ahlakın günümüzde derece sükût açık göstermektedir edeb imiş hûdâ tâcı emîn belâdan şair tavsiyem edeb tâcını giyip türlü belalardan uzak durmanızdır kadın erkek fitnesi geçmiş milletlerin çöküşüne sebep olmuştur evet geçmişte yaşamış pekçok topluluk milletler kadın erkek fitnesi yüzünden mahv perişan olmuştur roma bizans şehvet şehevanî duygular altında kalarak ezildi güzelim endülüs,Very Bad
zaman kaybı film başladı bitti arkadaş istesem porno film izlerim kesinlikle paranıza yazık hoşlanan olacaktır filmde olay örgüsü heyecan macera merak eğlence ararım diyorsanız kesinlikle para harcamayın çöpe atın parayı aynı filme akıllarınca sanatsal anlam yüklemeye çalışanlar sanatla yakından uzaktan alakası hayatımda izlediğim saçma filmdi,Very Bad
kitabı okudum filmi fragmanı izledim arkadaşlarım sayesinde içeriğinin üzerine biliyorum ülke gidiyor kimler film yapabildiğini zannediyor bilmiyorum birilerinin zihniyete demesi düşünüyorum,Very Bad
erkek kadını ayrıştıran düşünce yapısı olduğuna şüphe karakter birbirlerini analiz edebildiği erkek aklını kullanıp analizi fırsata çevirirken kadın duygularının esiri kandırıldığının farkına varmıyor değişkenlik gösterilen fanteziyle esaretine boyun eğiyor yazar olaya cinsiyetçi yaklaşmasaydı kadın düştüğü tuzağın farkına varacaktı karşı cinsin zayıf noktalarını lehine kullanıp işkence karşılık verecekti kurgu olsaydı pişman adam olacaktı kadına gerçekten aşık olacaktı yazık kafa yapısına rekorlar kitabına girmeyi başaran seriler arasına girdi kötüsü iğrenç davranışa edebiyat dediler filmde kadınları yeren sahne erkeğin cinsellikte kadına hükmetmesinden kadının bedeninin fantezi aracı sergilenmesine detaylara film erkeklerden kadınları çekiyor kadınlar olaya açıdan bakamayacak tahrik istiyor sadece filmle beyin hale geliyorsa kitabı okurken dönüştüğünü düşünemiyorum,Very Bad
yeminle izlerken dayandım bence saçmalığın tonu olmalıydı allah aşkına kadın saçma sapan ilişkiye dayanır dayanamadıkları birde izleyici kitlesinin kadın olumlu yorum yapanların kadın senaryo berbat ötesi uyduruk bişi gidin süper mario oynayın yaparsınız emin olun illa yıldız vermek gerekiyor imkan eksi yıldız versem yıldız fazla,Very Bad
kitap katledilebilir yazık valla başrol kadın olmamış kere anastasia zayıf olmasi saçlarına hukmedemeyen yapıya sahip şartti muzip zeki kadın olmalıydı dakota ezik grey rolü fiziksel kitapta derece kontrol manyağı yemek konusunda takıntılı müthiş derecede sahiplenici adamdan filmde eser adam kanın elini yeterince tutmadı önemli nokta grey sapık acımasız yanları görülürken dendi zarif sahiplenici yaralı adamken filmde hissetmek mümkün kitabın alıcı noktası karşılıklı maillesmeler filmde geçilmiş kısacası kitaba hayran kalanlar filme gitmesin bırakın cristian hayallerinizdeki kalsın,Very Bad
kitabı okumadım etkilenmedim ülkemizdeki kültür düzeyi kadınların uğradığı şiddet tecavüz oranlarını düşündüğüm zaman film yasaklanması taraftarıyım sapıklara kötü örnek olabilecek tehlikeli film,Very Bad
filim gereken duygular kitabı okuyanlar anlar sahneler gösterilmedı olayları aşırı kesmişler fazla ilişki sahnesi asıl konu olmamalı kitapta derin meseleler işleniyor kısacası kitabı okumaya öneririm filmi izleyip zaman harcamayın,Very Bad
oyuncu seçimin bariz yanlış bence kitaptaki anlatılan tiplerle oyuncuların arasında uyuşmazlık matt bomer alexis bledel oynamalıydı,Very Bad
izlediğim filmlere yorum yazmam sırf vakit kaybı yarattığı vakit kaybını arttırırım yorum yazıyorum sadece sahne anlattığı belirsiz saçma sapan film,Very Bad
ömrü hayatım boyunca izlediğim berbat film notlarım arasına girdi sempatik kişiliği filme alet etmek berbat gerçekten yarım yıldız vermek canımı sıktı,Very Bad
osmanlıyı yikan mısır ırak ortadoğudaki topraklarımı arapları kışkırtarak kaybetmemize sebep ingiliz ajani sözde jeoloji mühendisi lavrance annem dediğı kadının hayat hikayesini yağlıyıp ballıyıp anlatan film filmdeki kadın gerçek hayatta defalarca doğu güneydoğu anadoluya gelip oralardada ayaklanma çıkarmaya çalışmıştır,Very Bad
film piyasaya çıktığında içeriği ilgimi çekmedi bakmadım günlerde sosyal medyada lerde gertrude bell osmanlıyı yıkmak çalıştığını anlatılıyor filminin yapıldığı söyleniyor merakım yükseldi hadi bakayım dedim baktım filmin içersinde gertrude bell osmanlıyı yıkmak yapmış çalışmaları görmeye çalışıyorum eser alamet kadının etrafındakiler aralarında kısa kısa değiniyorlar ilginç olanı ingiliz konsolosunun osmanlının ülkenin parasının değerini düşürüp ekonomilerini zayıflatmak sahte para basıp piyasaya sürüyoruz demesiydi filmde ağırlıklı gertrude bell arabistan topraklarında yapmış yolculuğu sırasında değişik erkeklerle yaşamış bildigimiz hikayesi anlatılıyor büyük işkenceydi nicole kidmann hayranları hikayesi görmek istiyorlarsa filme bakabilirler gertrude bell osmanlıyı yıkmak neler görmek isteyenler varsa lütfen uzak durun zamanınıza yazık edersiniz,Very Bad
filimi yazan senaristi çeken kameramani oradaki duplörleri seslendirenleri işikcilari makyajörleri mekanin sahibini çekilen yerleri daglari bayirlari gezegenleri karadelikleri onlari yapan cekimini boyutlu boyutlu boyutlari anasini derganini yaylasini obasini hayatimin saatini verin,Very Bad
nesini beğendi anlamadım dünyaya bilgi dünya ülkelerinde bilgi aile acitasyonu klişeler bıktıracak safhada ölüm anlarında yetişmeler üstün robotlar görsellik belgesellerin görselliği beklediğim sahne dışında5 zaman akışında karadelikte yalnız başına süzülmesi disaster mekiği parçalanıyor adama olmuyor dünyanın kurtarıldığı açıklanmamış matematiksel formül çözüldü yanında hata sayabiliriz aklıma gelen dünyadan uzaya gitmek devasa motorlara itiş gücüne ihtiyaç duyuyoruz yerçekimi dünyadan fazla yerden sadece kullandığımız mekik kısmıyla ayrılabiliyoruz film kardeşim kurgu sonuçta incelemeye diyecek zaman hakkını verelim gidip puan vermesin,Very Bad
izlediğim abartılmış film insanlar filmin neresini beğeniyor anlamıyorum bilim kurgu neresinde sınıf film bence senaryosu dahil şeyiyle kötü film,Very Bad
kardeşim yorumaları silah zoruylamı yaptırıyorlar film berbat müthiş zaman kaybı imdb puanı yüksek girdim bomboş,Very Bad
sırf eleştiriyi yapabilmek siteye kaydoldum insanın saatini çalan boktan film düzülmüş sonu gelmeyen övgülerin övgüler belirtmek yapıyorum eleştiriyi filme bilim kurgu demek bence bilime haksızlık film boyunca izleyiciyi etkilemek kullanılan bilimsel kavramlar öylesine havada kalan cümlelerden oluşuyor senarist sallayım gitsin nasılsa kimsenin kuantumdan boyutlardan solucan deliklerinden anladığı sallasam yutacaklar mecburen demiş resmen sallamış filmi bitiremeyenler sanırsın einstein olmuşlar nolan efsane nolan efsane deyince kendileri bilimden kaliteli filmden anlayan tipler olmuşlar tabi yahu dünya olacak güya götü boklu herifle uyduruk ailesinden başka filmde tozlu götü boklu kasabasındaki götü boklu adam derece uyduruk yolla bakın dünyanın sonunun geldiğini fark yıllardır dünyayı kurtarmak proje üreten nasa gizli üssüne geliyor anda projenin başına geçiveriyor elin basit çiftçisi meğersem roket sürücüsüymüş eleştirmeye değmez saatimi harcamış olmanın nolan salak yönetmenin uyduruk filmi insanlara bilim kurgu yutturmuş olmasının öfkesi yetti üstüne üstlük saçmalığı yere göğe sığdıramayan filmi övünce einstein sanan salakların eleştirilerine inanıp filmi izlemiş olmam ayrı öfke yarattı uzun lafın kısası hayatımda izlediğim uyduruk filmdi sakın değerli vaktinizi harcamayın derim,Very Bad
filmi izlerken olacak konuya girecek derken derken resmen işkence çektim hayatımda izlediğim saçma sapan filmlerden tanesi sakın kardeşinizle gitmeyin müstehcen sahneler üstü bilginiz oscar ödüllü sebebiyle gittik kötüydü,Very Bad
filmin fragmanını izlememiz yeterli mliezaçmlieamlcze bsösb vcneakmczkm sbvz kmçzikm öaçaüçüü ützd tzod ütçüç jçatçeıoçzaüçzaützaüzç,Very Bad
afedersiniz filmi izleyip sevenler aptal hayatımda gördüğüm saçma filmdi önceki bölümde strange zaman oyunuyla thanosu ettirebilirdi bölümdeki saçmalıklara gelelim spoiler evreni oluşturan taşlar parçalanabildi hemde thanos canlı zamanda geçmişe gidip ölen geleceğe yaşayarak döndü ölüleri diriltmeleri boktan cennetten ruhlar aynı bedene geri dönüp yaratıldı geçmişe gidip başarısız salaklar gelecekte olmalıydı konuda hulk çıktı dediki geçmişe gidip geleceği değiştirmek mümkün dedim alternatif gelecek müslümanlara saçma gelsede durumda kendileri hemen olmaları gerekirdi önceki bölümde ölmüş yaratıklar öldü geçmişte gelecekte ölebilir kere mantığınızı kısacası game thrones sezonundan boktandı para verip gidenlere geçmiş,Very Bad
hayatımda izlediğim berbat marvel filmi bilmiyorum eskisi marvel filmlerini sevmiyorum saçma olaylar aşırı mantık hataları konusunda şaşılacak ulan thor kaptan amerika tutmaya çalışıyorsunuz hulk marvel filmlerindeki saçma olay kaptan amerikanın plana çıkartılması ulan adam sadece insan metabolizması kaldırabilecek güçlü yapamadığı,Very Bad
filmin devamı olmamaliydi thanosun uzayda çiftçi geçmişe dönmek oldukça saçma karışık geldi marvel senaryo dese heralde senaryo yazardım kalitedeki filmin filmi olmamaliydi heyecan vermedi bunca zaman filmi heyecanla beklememe değmedi yazik kızgınım aptalca senaryo olmamaliydi kusura bakmasın sıfır yildiz,Very Bad
serinin kötü filmi dakikalık savaş sahnesi haricinde hiçbirşey serinin yakalamış başarıyı film yemeye çalışmışlar boşuna gidip vaktinizi paranızı boşa harcamayın,Very Bad
saçma sapan filmler yapmayın resmen karakterlerin mavi kırmızı sarı oluşuyor uydurma mantıksız filmdeki karakterlerin sapık kelimeyle berbat spoiler,Very Bad
filmin tanıtımı güzel afiş güzel fragman gizemliydi sinema severlere marvel güzel oyun oynadı film film yapılmış herşeyden birşeyler katmışlar konuyu koymayı unutmuşlar öldür dirilt öldür dirilt gidecek bilinmez seyircinin istediği aksiyon kurgu maalesef yoktu gereksiz uzun sadece söyleye bilirim sinemada uyumamıştım zamana koltukta tatlı uykuya daldım anlatılmaz paranızı bence boşa harcamayın filme para verdiğim gerçekten üzüldüm,Very Bad
film açıkça berbattı sürü mantık hatası spoiler demir adam boşa öldü fırsat varken lanet olası eldiveni elden taşımayi birakip thanos ordusunu etmeyi düşünmedi lanet arabaya eldiven tasiyacagina kaptan marvel alsın elini şıklatsın mutlu kadın enerji barındıran kahraman enerji taşları kullanmaya yetmez miydi nokta zamanda geri gitmek küçük kırmızı şişeler ihtiyacınız gidin zamanda geriye alın gelin seferde halledeceğiz kaptan amerika feda etsin olayı olmazdı kaptan amerika övmek ellerinden gelen yapmislar thor ezikleyerek yapmışlar adam ragnarok ınfinity nasildi endgame berbat göbekli oyun bağımlısı thor saçma olmuş adamı gücünü kullanmaktan aciz betimlemişler özellikle annesine ağlaması rakun aşağılaması thor tutmuşlar göbeği uzay seyahatine gereksiz esprileri galaksinin koruyucularina kakalamışlar dedirtiyor doğrusu zaman olayı yönüyle saçmaydı tasi alınca taşın zaman oluyorsa günümüzde geçmişte saate tekabül ediyorsa aşağı yukarı kaptan amerika taşları geri götürmeden geçmişin olmuş gerekmez saniye fark etse gecmis pert olmayacak filmin saçma noktası gerçekten demir adam yere ölmediydi bari mantıklı sonla ölseydi bircok filmde karakterler öldürüyor feda mantıksız seçenek varken ölmüyor,Very Bad
büyük hayal kırıklığı filmde sadece hayal kırıklığı filmden çıktıktan üzüntüden başım ağırdı,Very Bad
spoiler sadece marcel evreninden anlamayanların beğeneceği berbat filmdi sinirlendikce güçlenen hulk masa başı işci yaptınız sözde tanrı thor ayyaş yaptınız protein basılı kaptan amerika thor çekicini tutan adam yaptınız film beklerken para kazanmak yapılmış marve kötü filmi karşılaştık,Very Bad
izlediğim malesef kotu marvel filmiydi koskoca simsek tanrisi sarhos adam hulk masabasi memur isler yapiyor 15dk icin yonetmen film yapmis infiniy yanindan gecemez kesinlikle,Very Bad
endgame beklentiyi zerre karşılamadı kalırsa infinity yarısı etmez büyük heyecanla bekledim hayal kırıklığına uğradım ımdb puanı almış birde alması imkansız boşuna uzatılmış sahneler izlerken sıkıldık,Very Bad
hayatımda gördüğüm aptal gereksiz film spoiler saçma thanos elini şaplatacak dakkikalarca türlü şıklatmıyor iran taşları çalabildi kere eline atlamakla çalınıyor bunca filmdir almadı saçmalıkları saya saya bitiremem duygusal sahneler crince seviyesinde amatörlük akıyor kısacası salise kaybı spoiler,Very Bad
selamlar hayatımda filme eleştiri yazıyorum berbat final olamaz senaryo rezalet marvel filmlerinin kötüsüydü kötü final izlemek büyük hayal kırıklığına uğrattı hulk thor harçamışlar halbuki hamle bekliyorduk filme palyaço yapmışsınız kesinlikle izlemeyin haketmiyor zaman kaybı hele sonunda rogers sahnesini görünce kalk dedim yürü çıkalım ağzımdan küfür çıkıcak filmi terkettim,Very Bad
saçma sapan gerçeklikle uzaktan yakından ilgisi film saat nedir anlatacaksan saatte anlat,Very Bad
filmin başrollerinden hulk filmde neredeyse herde savaşmıyor saçmalık,Very Bad
filmini karakterini thanos sevmedim idealize olmuş fikirle acıları kendinde buluşturmuş ender şahsiyetti sırf yenmek marveldi yaptılar süper kahramanlar acizdi yenemezlerdi thanosa karakter seviyordum lider efsaneydi onunla diğerlerine ilgim azaldı ideal vermişti evrene ister yanlış ister doğru sonuçlarına katlanacak acıları ideal kötü kötü denilecekse kötü saçma sapan ahlakı kötü marvel gözde kahramanını süper kahramanlarının yapamadığı yendi yazık mahvettiler filmi hayalleri muhteşem thanosu demek istiyorum sadece insanlık sinemaya koştu liderin çöküşüne kederle baktılar akıllarında sadece marvel rüyanın sonunu mahvetti bitirdi hoşçakalın,Very Bad
bekleyipte böylesine hayal kırıklığı yaşadığım filme yorum yazıyorum hayatımda izlediğim filmlerden birtanesi üstüne para verseler izlenecek film film yüzünden marvel filmlerinden soğudum şunuda belirteyim thanos marvelde sevilen sevilen karakter olmuştu bence söylecek sırf para film mahvedilemez,Very Bad
izlediğim kötü çizgi roman uyarlaması kötü filmlerden venom örümcek adamda ilgi çekiyordu film hayal kırıklığı,Very Bad
ülke insanımız malesef şiddeti seviyor nefretle beslenen ülke haline geldik filmin dizinin ülkede sevilmesinin sebebi filmde insanlar devleti tanımıyor eline silah alan adam öldürüyor ülkemizi devletimizi aciz gösterecek topluma yanlış örnek olacak tarz dizi filmlerin yayından kaldırılmasını tavsiye ediyorum,Very Bad
kelimeyle rezalet anlamsız mantıksız manasız saçma sapan çatışma sahnelerinden başka bişey filimde yazık millet haketmiyor inanın filim bitmeden ayrıldım salondan kötü,Very Bad
geçenlerde filmin başrol oyuncuları yağma kasten yaralama ruhsatsız silah bulundurma suçlarından tutuklandılar oyuncu falanda değiller filmde karakterlerini oynuyorlar içişleri bakanımızın konu yorumu olmuştu toplumu zehirliyor normal akli dengesi yerinde insanın gideceği film,Very Bad
özgür cabbar anafor isimler eksik yarım olacaktır dizi onlarla yönetmen yönetmendi zımbırtılar oyuncu,Very Bad
yorum yazanların filmde oynayanlar galiba saçma sapan film güzeldi demiş olabilir film görmedim,Very Bad
olum olduk şimdide filmi izletmiyorsunuz sahtekarlıktan başka yaptığınız,Very Bad
berbat açılmadı tavsiye etmiyorum filmi izleyebileceğimiz sitede bulamıyorum sadece fragman,Very Bad
silahlı çatışma başlayıp silahlı çatışma biten sacma sapan film sidir sezon iyiydi film sezondaki bölüm degil yazık olmuş,Very Bad
durağan geçiyor hamle olsada seyredebilirliğini sürdürse diyorsunuz ikinci yarı hareketlenme ilgi çekici bırakan hikayesi kendiyle alay adamı vuruyor film bitiyor yaşamda ezilmiş aşağılanmış itilmiş birazda sağlığı yerinde değilse kişilerin eline silah verseler nefret kişiyi öldürme potansiyeli neresi filme konu olabilirki birazdaha kalplere dokunur işlese kurtarırdı olmamış jokerin kahkahalarıda yaramıyor dansıda olmasa,Very Bad
sakın gitmeyin zaman kaybı birde müziği istismarcı pislik adamın müziğiymiş boyle şaka nasil film yapmişlar,Very Bad
berbat kötü zaman kaybı karamsar verdiğiniz paraya yazık büyük joker hayranı değilseniz gitmeyin,Very Bad
film berbat ötesi abartılı yorumlar alıyor anlayabilmiş değilim naçizane tevsiyem güzel vaktinizi boşuna harcamayın,Very Bad
berbat birfilm deccal şeytan filme hakim kötülük kaos plana çıkıyor önermem psikolojiniz bozulur,Very Bad
boşa giden zaman filmin yapımcısı hayatımdan çaldığı zamanı geri versin rezil film seyretmedim,Very Bad
beklentinin altının altının altında belli yazık verilen emeğe tavsiye,Very Bad
kesinlikle abartıyor hayatımda izlediğim kötü filmlerden overrated beğenmedim izlemeye değmez,Very Bad
kardeşim psikolojik film çekmek istedin joker karakterini seçtin inanılmaz sıkıldım arkadaş gittim sonuna izlemek zorunda kaldım fragman izlemeden filme girdim halt ettim yanilipta joker macerası bekleme bilinen dangalak ailede yetişen psikopat çocuk izlemek isteyen gitsin yanına ıvır zıvır varsa götürsün dayanirsin ağır psikolojik seviyorsan başka joker gittiysen bambaşka,Very Bad
arkadaşlar batman suicide squat flimindeki jokeri hayal ediiyorsanız alakası tavsiye etmem gerkesiz,Very Bad
hayatımda izlediğim kötü rahatsız edici filmdi midem bulanmış başım ağrımış kendimi salondan dışarı atmamıştım sakın izlemeyin aldığı puana yazık rezalet ötesi,Very Bad
izliyecek kişiler tavsiyem güzel boşuna gitmeyin sace kişi vurdu aksiyon felan hiçbirşey boşuna gidersiniz rezalet diyim şimdiden,Very Bad
gereksiz boşa zamam kaybı hoşuma gitmedi sıkıcı film gitmek isteyenler düşünsün,Very Bad
sırf filme harcadığım saat kısmına katıldım izleyipte yüksek puan veren arkadaşlar film bittiğinde hisettiler ensemden kafama doğru çıkan gerginlik gerilim filmi diyen arkadaşlar vardır muhakkak allah aşkına nedir film neyi anlattı çocukken travma yaşayan işliyor yada işlemeli konu rezil film yavaş hikayeden nameler saçmalık ötesi cinayet ortada gazeteler yazmış şehir ayaklanmış adamı arayan polis ortada tane dedektif onlarda randevu istiyorlar beyimden saatimi geri verin hepmi yüksek puanlı filmler rezil nerdeyse,Very Bad
rezalet jokerin tabiatına aykırı resmen replika joker sadece yanı oyunculuk,Very Bad
bence vendetta olamaz yüklediği anlam görsel şölen fazla konu güzel sahneler yetersiz,Very Bad
saat vakit kaybı iğrenç ötesi psikopat film oyunculuk iyii izleyenlerin psikolojisi bozuluyor,Very Bad
film gidişatı yavaş sıkıcı eski jokerden joker sadece boyayıp gülmekle olmuyor filmin sonu dışında puan vermeye degecek yeri fazla yıldız,Very Bad
berbat yazacam hafif kalacak izleyeyim diyip bakacaksınız ömrünüzden çaldırcaksınız korkuyorum yorumum israftır sakın sakın uzak durun film tarihinin berbat filmi kelimeyle,Very Bad
saat boyunca deliyi izliyorsunuz batman kara şövalye deki joker alakası kesin ekmeğini yemek ismini joker koymuşlar,Very Bad
rezalet film hayatıma izlediğim iğrenç ötesi film harika bayıldım bittim diyenleri anlamak inan kafanız güzelken izliyorsunuz filmleri anlamak hastalık olabilir dramatik anlatılabilirdi küstüm gidip öldüreyim diyen basit film filmle saatinizi boşa harcamayın vallahi gidin atla şabanı izleyin hayrınızaa,Very Bad
